Param: rdm.Lap.kernel                                     | Grad Mean: 0.002697603311390 | Grad Std: 0.004479050170630
Param: encoder0.0.mamba.1.proj.1.bias                     | Grad Mean: -0.000002707753765 | Grad Std: 0.000121224773466
Param: encoder0.0.norm_act2.0.weight                      | Grad Mean: 0.000043284344429 | Grad Std: 0.001744300010614
Param: encoder0.0.norm_act2.0.bias                        | Grad Mean: -0.000048003363190 | Grad Std: 0.000941615726333
Param: encoder0.1.norm_act1.0.weight                      | Grad Mean: 0.000027437476092 | Grad Std: 0.001462774001993
Param: encoder0.1.norm_act1.0.bias                        | Grad Mean: -0.000044829106628 | Grad Std: 0.000750409497414
Param: encoder0.1.swin.0.Swin.norm1.weight                | Grad Mean: -0.000004655203156 | Grad Std: 0.000032741550967
Param: encoder0.1.swin.0.Swin.norm1.bias                  | Grad Mean: 0.000001168466156 | Grad Std: 0.000006330484666
Param: encoder0.1.swin.0.Swin.attn.relative_position_bias_table | Grad Mean: -0.000000000000001 | Grad Std: 0.000000083967507
Param: encoder0.1.swin.0.Swin.attn.qkv.weight             | Grad Mean: -0.000000013008195 | Grad Std: 0.000021441153876
Param: encoder0.1.swin.0.Swin.attn.qkv.bias               | Grad Mean: -0.000000312128975 | Grad Std: 0.000023589653210
Param: encoder0.1.swin.0.Swin.attn.proj.weight            | Grad Mean: 0.000000019149045 | Grad Std: 0.000034974524169
Param: encoder0.1.swin.0.Swin.attn.proj.bias              | Grad Mean: -0.000002008934189 | Grad Std: 0.000099103563116
Param: encoder0.1.swin.0.Swin.norm2.weight                | Grad Mean: -0.000003167055638 | Grad Std: 0.000011735197404
Param: encoder0.1.swin.0.Swin.norm2.bias                  | Grad Mean: -0.000000249791867 | Grad Std: 0.000002385854941
Param: encoder0.1.swin.0.Swin.mlp.fc1.weight              | Grad Mean: -0.000000009371579 | Grad Std: 0.000004669364898
Param: encoder0.1.swin.0.Swin.mlp.fc1.bias                | Grad Mean: -0.000001199228450 | Grad Std: 0.000005688511919
Param: encoder0.1.swin.0.Swin.mlp.fc2.weight              | Grad Mean: -0.000000120061486 | Grad Std: 0.000005366858204
Param: encoder0.1.swin.0.Swin.mlp.fc2.bias                | Grad Mean: -0.000002008933507 | Grad Std: 0.000098450276710
Param: encoder0.1.swin.0.norm.weight                      | Grad Mean: -0.000006973340533 | Grad Std: 0.000368400244042
Param: encoder0.1.swin.0.norm.bias                        | Grad Mean: -0.000004017867013 | Grad Std: 0.000199636851903
Param: encoder0.1.swin.1.Swin.norm1.weight                | Grad Mean: -0.000002231453891 | Grad Std: 0.000016397367290
Param: encoder0.1.swin.1.Swin.norm1.bias                  | Grad Mean: -0.000000020272656 | Grad Std: 0.000003621463065
Param: encoder0.1.swin.1.Swin.attn.relative_position_bias_table | Grad Mean: -0.000000000000002 | Grad Std: 0.000000033153903
Param: encoder0.1.swin.1.Swin.attn.qkv.weight             | Grad Mean: 0.000000007809658 | Grad Std: 0.000008828995306
Param: encoder0.1.swin.1.Swin.attn.qkv.bias               | Grad Mean: 0.000001118776368 | Grad Std: 0.000012611903912
Param: encoder0.1.swin.1.Swin.attn.proj.weight            | Grad Mean: 0.000000010653490 | Grad Std: 0.000015913323296
Param: encoder0.1.swin.1.Swin.attn.proj.bias              | Grad Mean: -0.000005834391686 | Grad Std: 0.000071971138823
Param: encoder0.1.swin.1.Swin.norm2.weight                | Grad Mean: -0.000000987796284 | Grad Std: 0.000004956792509
Param: encoder0.1.swin.1.Swin.norm2.bias                  | Grad Mean: -0.000000138484523 | Grad Std: 0.000000897004725
Param: encoder0.1.swin.1.Swin.mlp.fc1.weight              | Grad Mean: -0.000000002023709 | Grad Std: 0.000002051003776
Param: encoder0.1.swin.1.Swin.mlp.fc1.bias                | Grad Mean: -0.000000445473688 | Grad Std: 0.000002941294269
Param: encoder0.1.swin.1.Swin.mlp.fc2.weight              | Grad Mean: -0.000000059259538 | Grad Std: 0.000002567453976
Param: encoder0.1.swin.1.Swin.mlp.fc2.bias                | Grad Mean: -0.000005834392141 | Grad Std: 0.000071428228694
Param: encoder0.1.swin.1.norm.weight                      | Grad Mean: -0.000058493482356 | Grad Std: 0.000388762418879
Param: encoder0.1.swin.1.norm.bias                        | Grad Mean: -0.000011668786101 | Grad Std: 0.000139342941111
Param: encoder0.1.mamba.0.norm.weight                     | Grad Mean: 0.000004958043974 | Grad Std: 0.000438342016423
Param: encoder0.1.mamba.0.norm.bias                       | Grad Mean: 0.000004646756679 | Grad Std: 0.000061667124100
Param: encoder0.1.mamba.0.mamba.A_log                     | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.1.mamba.0.mamba.D                         | Grad Mean: 0.000001890507519 | Grad Std: 0.000076627067756
Param: encoder0.1.mamba.0.mamba.in_proj.weight            | Grad Mean: 0.000000863933167 | Grad Std: 0.000076100608567
Param: encoder0.1.mamba.0.mamba.conv1d.weight             | Grad Mean: 0.000000149161380 | Grad Std: 0.000243311966187
Param: encoder0.1.mamba.0.mamba.conv1d.bias               | Grad Mean: 0.000008840677765 | Grad Std: 0.000248854979873
Param: encoder0.1.mamba.0.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.1.mamba.0.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.1.mamba.0.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.1.mamba.0.mamba.out_proj.weight           | Grad Mean: -0.000000070706932 | Grad Std: 0.000022068526960
Param: encoder0.1.mamba.0.proj.0.weight                   | Grad Mean: -0.000001058986186 | Grad Std: 0.000047849447583
Param: encoder0.1.mamba.0.proj.0.bias                     | Grad Mean: -0.000000000333974 | Grad Std: 0.000000001958718
Param: encoder0.1.mamba.0.proj.1.weight                   | Grad Mean: 0.000006759291864 | Grad Std: 0.000054909633036
Param: encoder0.1.mamba.0.proj.1.bias                     | Grad Mean: -0.000004262806215 | Grad Std: 0.000043066160288
Param: encoder0.1.mamba.1.norm.weight                     | Grad Mean: -0.000027101392334 | Grad Std: 0.000360884529073
Param: encoder0.1.mamba.1.norm.bias                       | Grad Mean: -0.000011429699953 | Grad Std: 0.000046475499403
Param: encoder0.1.mamba.1.mamba.A_log                     | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.1.mamba.1.mamba.D                         | Grad Mean: -0.000001259745545 | Grad Std: 0.000072069451562
Param: encoder0.1.mamba.1.mamba.in_proj.weight            | Grad Mean: 0.000000279935222 | Grad Std: 0.000035361324990
Param: encoder0.1.mamba.1.mamba.conv1d.weight             | Grad Mean: -0.000002372082918 | Grad Std: 0.000218740678974
Param: encoder0.1.mamba.1.mamba.conv1d.bias               | Grad Mean: -0.000019190612875 | Grad Std: 0.000171961059095
Param: encoder0.1.mamba.1.mamba.x_proj.weight             | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.1.mamba.1.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.1.mamba.1.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.1.mamba.1.mamba.out_proj.weight           | Grad Mean: -0.000000111192449 | Grad Std: 0.000021103460313
Param: encoder0.1.mamba.1.proj.0.weight                   | Grad Mean: 0.000001418988973 | Grad Std: 0.000049961352488
Param: encoder0.1.mamba.1.proj.0.bias                     | Grad Mean: 0.000000000041382 | Grad Std: 0.000000002355609
Param: encoder0.1.mamba.1.proj.1.weight                   | Grad Mean: -0.000003695084843 | Grad Std: 0.000056320619478
Param: encoder0.1.mamba.1.proj.1.bias                     | Grad Mean: -0.000008343831723 | Grad Std: 0.000033057887777
Param: encoder0.1.norm_act2.0.weight                      | Grad Mean: -0.000015085919586 | Grad Std: 0.001570392167196
Param: encoder0.1.norm_act2.0.bias                        | Grad Mean: -0.000057883218687 | Grad Std: 0.000321873638313
Param: patch_embed1.proj.0.weight                         | Grad Mean: 0.000001965445108 | Grad Std: 0.000289561256068
Param: patch_embed1.proj.0.bias                           | Grad Mean: 0.000000000003348 | Grad Std: 0.000000000037456
Param: patch_embed1.proj.1.weight                         | Grad Mean: -0.000002618333383 | Grad Std: 0.000722697935998
Param: patch_embed1.proj.1.bias                           | Grad Mean: -0.000001811992433 | Grad Std: 0.001075375359505
Param: encoder1.0.norm_act1.0.weight                      | Grad Mean: 0.000009342766134 | Grad Std: 0.001474940334447
Param: encoder1.0.norm_act1.0.bias                        | Grad Mean: -0.000005806204626 | Grad Std: 0.001921946648508
Param: encoder1.0.swin.0.Swin.norm1.weight                | Grad Mean: -0.000001563643082 | Grad Std: 0.000023629998395
Param: encoder1.0.swin.0.Swin.norm1.bias                  | Grad Mean: 0.000001583624794 | Grad Std: 0.000017508005840
Param: encoder1.0.swin.0.Swin.attn.relative_position_bias_table | Grad Mean: -0.000000000000000 | Grad Std: 0.000000101863392
Param: encoder1.0.swin.0.Swin.attn.qkv.weight             | Grad Mean: -0.000000000790558 | Grad Std: 0.000014217673197
Param: encoder1.0.swin.0.Swin.attn.qkv.bias               | Grad Mean: 0.000000023034469 | Grad Std: 0.000032486983400
Param: encoder1.0.swin.0.Swin.attn.proj.weight            | Grad Mean: 0.000000021329383 | Grad Std: 0.000015448933482
Param: encoder1.0.swin.0.Swin.attn.proj.bias              | Grad Mean: -0.000000268062649 | Grad Std: 0.000269321928499
Param: encoder1.0.swin.0.Swin.norm2.weight                | Grad Mean: 0.000000013190080 | Grad Std: 0.000000078194056
Param: encoder1.0.swin.0.Swin.norm2.bias                  | Grad Mean: -0.000000002045451 | Grad Std: 0.000000040649347
Param: encoder1.0.swin.0.Swin.mlp.fc1.weight              | Grad Mean: 0.000000000000182 | Grad Std: 0.000000376647904
Param: encoder1.0.swin.0.Swin.mlp.fc1.bias                | Grad Mean: -0.000000012140433 | Grad Std: 0.000000804666058
Param: encoder1.0.swin.0.Swin.mlp.fc2.weight              | Grad Mean: -0.000000000234494 | Grad Std: 0.000000398322243
Param: encoder1.0.swin.0.Swin.mlp.fc2.bias                | Grad Mean: -0.000000268057192 | Grad Std: 0.000269319687504
Param: encoder1.0.swin.0.norm.weight                      | Grad Mean: -0.000000308258080 | Grad Std: 0.000370313297026
Param: encoder1.0.swin.0.norm.bias                        | Grad Mean: -0.000000536114385 | Grad Std: 0.000553615216631
Param: encoder1.0.swin.1.Swin.norm1.weight                | Grad Mean: -0.000000149171896 | Grad Std: 0.000001767822368
Param: encoder1.0.swin.1.Swin.norm1.bias                  | Grad Mean: 0.000000101207796 | Grad Std: 0.000001297202175
Param: encoder1.0.swin.1.Swin.attn.relative_position_bias_table | Grad Mean: -0.000000000000000 | Grad Std: 0.000000010001194
Param: encoder1.0.swin.1.Swin.attn.qkv.weight             | Grad Mean: 0.000000000045306 | Grad Std: 0.000002986824029
Param: encoder1.0.swin.1.Swin.attn.qkv.bias               | Grad Mean: 0.000000094109545 | Grad Std: 0.000007872371498
Param: encoder1.0.swin.1.Swin.attn.proj.weight            | Grad Mean: -0.000000000326114 | Grad Std: 0.000003313183697
Param: encoder1.0.swin.1.Swin.attn.proj.bias              | Grad Mean: -0.000000954947041 | Grad Std: 0.000174265180249
Param: encoder1.0.swin.1.Swin.norm2.weight                | Grad Mean: 0.000000000420377 | Grad Std: 0.000000003571369
Param: encoder1.0.swin.1.Swin.norm2.bias                  | Grad Mean: -0.000000000037468 | Grad Std: 0.000000001046381
Param: encoder1.0.swin.1.Swin.mlp.fc1.weight              | Grad Mean: 0.000000000000155 | Grad Std: 0.000000056139044
Param: encoder1.0.swin.1.Swin.mlp.fc1.bias                | Grad Mean: -0.000000001553874 | Grad Std: 0.000000136179594
Param: encoder1.0.swin.1.Swin.mlp.fc2.weight              | Grad Mean: 0.000000000006524 | Grad Std: 0.000000036982133
Param: encoder1.0.swin.1.Swin.mlp.fc2.bias                | Grad Mean: -0.000000954948518 | Grad Std: 0.000174265616806
Param: encoder1.0.swin.1.norm.weight                      | Grad Mean: -0.000012475986296 | Grad Std: 0.000369984685676
Param: encoder1.0.swin.1.norm.bias                        | Grad Mean: -0.000001909898401 | Grad Std: 0.000348729139660
Param: encoder1.0.mamba.0.norm.weight                     | Grad Mean: 0.000000376600553 | Grad Std: 0.000253959296970
Param: encoder1.0.mamba.0.norm.bias                       | Grad Mean: -0.000000124761456 | Grad Std: 0.000179376977030
Param: encoder1.0.mamba.0.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.0.mamba.0.mamba.D                         | Grad Mean: 0.000000298604022 | Grad Std: 0.000008275201253
Param: encoder1.0.mamba.0.mamba.in_proj.weight            | Grad Mean: 0.000000007394474 | Grad Std: 0.000004324753263
Param: encoder1.0.mamba.0.mamba.conv1d.weight             | Grad Mean: -0.000002598138963 | Grad Std: 0.000076638527389
Param: encoder1.0.mamba.0.mamba.conv1d.bias               | Grad Mean: -0.000000086671889 | Grad Std: 0.000002400896847
Param: encoder1.0.mamba.0.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.0.mamba.0.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.0.mamba.0.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.0.mamba.0.mamba.out_proj.weight           | Grad Mean: -0.000000000639597 | Grad Std: 0.000001078945047
Param: encoder1.0.mamba.0.proj.0.weight                   | Grad Mean: -0.000000021063608 | Grad Std: 0.000014880934032
Param: encoder1.0.mamba.0.proj.0.bias                     | Grad Mean: -0.000000000037869 | Grad Std: 0.000000000409983
Param: encoder1.0.mamba.0.proj.1.weight                   | Grad Mean: 0.000002926496336 | Grad Std: 0.000026208337658
Param: encoder1.0.mamba.0.proj.1.bias                     | Grad Mean: -0.000001189627142 | Grad Std: 0.000086198102508
Param: encoder1.0.mamba.1.norm.weight                     | Grad Mean: -0.000001145410351 | Grad Std: 0.000246822688496
Param: encoder1.0.mamba.1.norm.bias                       | Grad Mean: 0.000000147587656 | Grad Std: 0.000179119582754
Param: encoder1.0.mamba.1.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.0.mamba.1.mamba.D                         | Grad Mean: 0.000000376515430 | Grad Std: 0.000010434299838
Param: encoder1.0.mamba.1.mamba.in_proj.weight            | Grad Mean: 0.000000054659683 | Grad Std: 0.000002382587809
Param: encoder1.0.mamba.1.mamba.conv1d.weight             | Grad Mean: 0.000001962969009 | Grad Std: 0.000055995489674
Param: encoder1.0.mamba.1.mamba.conv1d.bias               | Grad Mean: 0.000000225992522 | Grad Std: 0.000006262745956
Param: encoder1.0.mamba.1.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.0.mamba.1.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.0.mamba.1.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.0.mamba.1.mamba.out_proj.weight           | Grad Mean: -0.000000003893263 | Grad Std: 0.000001429295594
Param: encoder1.0.mamba.1.proj.0.weight                   | Grad Mean: -0.000000119081605 | Grad Std: 0.000019846007490
Param: encoder1.0.mamba.1.proj.0.bias                     | Grad Mean: -0.000000000016719 | Grad Std: 0.000000000377437
Param: encoder1.0.mamba.1.proj.1.weight                   | Grad Mean: 0.000004755840564 | Grad Std: 0.000018552278561
Param: encoder1.0.mamba.1.proj.1.bias                     | Grad Mean: 0.000000197763413 | Grad Std: 0.000100206314528
Param: encoder1.0.norm_act2.0.weight                      | Grad Mean: 0.000000789778539 | Grad Std: 0.001159187289886
Param: encoder1.0.norm_act2.0.bias                        | Grad Mean: -0.000004847741366 | Grad Std: 0.000745783909224
Param: encoder1.1.norm_act1.0.weight                      | Grad Mean: 0.000009477056665 | Grad Std: 0.000893191434443
Param: encoder1.1.norm_act1.0.bias                        | Grad Mean: -0.000005090299055 | Grad Std: 0.000625235203188
Param: encoder1.1.swin.0.Swin.norm1.weight                | Grad Mean: -0.000000358160776 | Grad Std: 0.000007578872555
Param: encoder1.1.swin.0.Swin.norm1.bias                  | Grad Mean: -0.000000090927287 | Grad Std: 0.000002507042154
Param: encoder1.1.swin.0.Swin.attn.relative_position_bias_table | Grad Mean: -0.000000000000000 | Grad Std: 0.000000025952781
Param: encoder1.1.swin.0.Swin.attn.qkv.weight             | Grad Mean: -0.000000001403034 | Grad Std: 0.000002998732043
Param: encoder1.1.swin.0.Swin.attn.qkv.bias               | Grad Mean: -0.000000328008042 | Grad Std: 0.000007948855455
Param: encoder1.1.swin.0.Swin.attn.proj.weight            | Grad Mean: 0.000000006007316 | Grad Std: 0.000005970787697
Param: encoder1.1.swin.0.Swin.attn.proj.bias              | Grad Mean: -0.000000385672450 | Grad Std: 0.000085769759608
Param: encoder1.1.swin.0.Swin.norm2.weight                | Grad Mean: -0.000000001672569 | Grad Std: 0.000000025027296
Param: encoder1.1.swin.0.Swin.norm2.bias                  | Grad Mean: -0.000000000198873 | Grad Std: 0.000000002410722
Param: encoder1.1.swin.0.Swin.mlp.fc1.weight              | Grad Mean: -0.000000000000885 | Grad Std: 0.000000055245387
Param: encoder1.1.swin.0.Swin.mlp.fc1.bias                | Grad Mean: -0.000000002485943 | Grad Std: 0.000000111849225
Param: encoder1.1.swin.0.Swin.mlp.fc2.weight              | Grad Mean: 0.000000000005914 | Grad Std: 0.000000119061106
Param: encoder1.1.swin.0.Swin.mlp.fc2.bias                | Grad Mean: -0.000000385673218 | Grad Std: 0.000085769192083
Param: encoder1.1.swin.0.norm.weight                      | Grad Mean: -0.000004368237569 | Grad Std: 0.000227632670430
Param: encoder1.1.swin.0.norm.bias                        | Grad Mean: -0.000000771344901 | Grad Std: 0.000176934612682
Param: encoder1.1.swin.1.Swin.norm1.weight                | Grad Mean: 0.000000005379992 | Grad Std: 0.000000569836004
Param: encoder1.1.swin.1.Swin.norm1.bias                  | Grad Mean: -0.000000004884535 | Grad Std: 0.000000147169843
Param: encoder1.1.swin.1.Swin.attn.relative_position_bias_table | Grad Mean: 0.000000000000000 | Grad Std: 0.000000002545453
Param: encoder1.1.swin.1.Swin.attn.qkv.weight             | Grad Mean: -0.000000000000352 | Grad Std: 0.000000543150918
Param: encoder1.1.swin.1.Swin.attn.qkv.bias               | Grad Mean: -0.000000013332387 | Grad Std: 0.000001534308467
Param: encoder1.1.swin.1.Swin.attn.proj.weight            | Grad Mean: 0.000000000864090 | Grad Std: 0.000001454495077
Param: encoder1.1.swin.1.Swin.attn.proj.bias              | Grad Mean: -0.000000852736207 | Grad Std: 0.000053039468185
Param: encoder1.1.swin.1.Swin.norm2.weight                | Grad Mean: -0.000000000031427 | Grad Std: 0.000000000707510
Param: encoder1.1.swin.1.Swin.norm2.bias                  | Grad Mean: -0.000000000007662 | Grad Std: 0.000000000081997
Param: encoder1.1.swin.1.Swin.mlp.fc1.weight              | Grad Mean: -0.000000000000013 | Grad Std: 0.000000006433610
Param: encoder1.1.swin.1.Swin.mlp.fc1.bias                | Grad Mean: -0.000000000488138 | Grad Std: 0.000000013613278
Param: encoder1.1.swin.1.Swin.mlp.fc2.weight              | Grad Mean: -0.000000000005717 | Grad Std: 0.000000011435104
Param: encoder1.1.swin.1.Swin.mlp.fc2.bias                | Grad Mean: -0.000000852735980 | Grad Std: 0.000053039497288
Param: encoder1.1.swin.1.norm.weight                      | Grad Mean: -0.000011078739590 | Grad Std: 0.000224549774430
Param: encoder1.1.swin.1.norm.bias                        | Grad Mean: -0.000001705472869 | Grad Std: 0.000106229184894
Param: encoder1.1.mamba.0.norm.weight                     | Grad Mean: 0.000003046518941 | Grad Std: 0.000152581604198
Param: encoder1.1.mamba.0.norm.bias                       | Grad Mean: 0.000000125756372 | Grad Std: 0.000049226717238
Param: encoder1.1.mamba.0.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.1.mamba.0.mamba.D                         | Grad Mean: 0.000001230830321 | Grad Std: 0.000019690289264
Param: encoder1.1.mamba.0.mamba.in_proj.weight            | Grad Mean: 0.000000043992582 | Grad Std: 0.000006550113994
Param: encoder1.1.mamba.0.mamba.conv1d.weight             | Grad Mean: -0.000003034920610 | Grad Std: 0.000087530876044
Param: encoder1.1.mamba.0.mamba.conv1d.bias               | Grad Mean: 0.000001478190711 | Grad Std: 0.000025910481781
Param: encoder1.1.mamba.0.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.1.mamba.0.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.1.mamba.0.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.1.mamba.0.mamba.out_proj.weight           | Grad Mean: 0.000000011154378 | Grad Std: 0.000003094058911
Param: encoder1.1.mamba.0.proj.0.weight                   | Grad Mean: 0.000000234436186 | Grad Std: 0.000009859691090
Param: encoder1.1.mamba.0.proj.0.bias                     | Grad Mean: 0.000000000001419 | Grad Std: 0.000000000432163
Param: encoder1.1.mamba.0.proj.1.weight                   | Grad Mean: 0.000005806818990 | Grad Std: 0.000018559394448
Param: encoder1.1.mamba.0.proj.1.bias                     | Grad Mean: 0.000000891125296 | Grad Std: 0.000023207554477
Param: encoder1.1.mamba.1.norm.weight                     | Grad Mean: 0.000001719097554 | Grad Std: 0.000148934661411
Param: encoder1.1.mamba.1.norm.bias                       | Grad Mean: 0.000000505697869 | Grad Std: 0.000050051439757
Param: encoder1.1.mamba.1.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.1.mamba.1.mamba.D                         | Grad Mean: 0.000000403458984 | Grad Std: 0.000011180982256
Param: encoder1.1.mamba.1.mamba.in_proj.weight            | Grad Mean: 0.000000050607735 | Grad Std: 0.000002499742777
Param: encoder1.1.mamba.1.mamba.conv1d.weight             | Grad Mean: 0.000002207632861 | Grad Std: 0.000062074155721
Param: encoder1.1.mamba.1.mamba.conv1d.bias               | Grad Mean: 0.000000402528372 | Grad Std: 0.000011155193533
Param: encoder1.1.mamba.1.mamba.x_proj.weight             | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.1.mamba.1.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.1.mamba.1.mamba.dt_proj.bias              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder1.1.mamba.1.mamba.out_proj.weight           | Grad Mean: -0.000000001203868 | Grad Std: 0.000001558524332
Param: encoder1.1.mamba.1.proj.0.weight                   | Grad Mean: -0.000000044351292 | Grad Std: 0.000016801044694
Param: encoder1.1.mamba.1.proj.0.bias                     | Grad Mean: 0.000000000000818 | Grad Std: 0.000000000453082
Param: encoder1.1.mamba.1.proj.1.weight                   | Grad Mean: 0.000003394864962 | Grad Std: 0.000014047596778
Param: encoder1.1.mamba.1.proj.1.bias                     | Grad Mean: 0.000000320360357 | Grad Std: 0.000026376854294
Param: encoder1.1.norm_act2.0.weight                      | Grad Mean: 0.000003547308324 | Grad Std: 0.000705604790710
Param: encoder1.1.norm_act2.0.bias                        | Grad Mean: -0.000003500711500 | Grad Std: 0.000221726935706
Param: encoder1.2.norm_act1.0.weight                      | Grad Mean: 0.000006764757472 | Grad Std: 0.000569388212170
Param: encoder1.2.norm_act1.0.bias                        | Grad Mean: -0.000002991911515 | Grad Std: 0.000181767260074
Param: encoder1.2.swin.0.Swin.norm1.weight                | Grad Mean: -0.000001453897085 | Grad Std: 0.000021414802177
Param: encoder1.2.swin.0.Swin.norm1.bias                  | Grad Mean: 0.000000020864384 | Grad Std: 0.000000520288665
Param: encoder1.2.swin.0.Swin.attn.relative_position_bias_table | Grad Mean: 0.000000000000001 | Grad Std: 0.000000041587416
Param: encoder1.2.swin.0.Swin.attn.qkv.weight             | Grad Mean: -0.000000001028284 | Grad Std: 0.000003654881084
Param: encoder1.2.swin.0.Swin.attn.qkv.bias               | Grad Mean: -0.000000042840156 | Grad Std: 0.000001281903678
Param: encoder1.2.swin.0.Swin.attn.proj.weight            | Grad Mean: -0.000000023118043 | Grad Std: 0.000008002965842
Param: encoder1.2.swin.0.Swin.attn.proj.bias              | Grad Mean: -0.000000196063112 | Grad Std: 0.000023780885385
Param: encoder1.2.swin.0.Swin.norm2.weight                | Grad Mean: 0.000000000012969 | Grad Std: 0.000000000172615
Param: encoder1.2.swin.0.Swin.norm2.bias                  | Grad Mean: 0.000000000001615 | Grad Std: 0.000000000027449
Param: encoder1.2.swin.0.Swin.mlp.fc1.weight              | Grad Mean: 0.000000000000009 | Grad Std: 0.000000001897639
Param: encoder1.2.swin.0.Swin.mlp.fc1.bias                | Grad Mean: 0.000000000116379 | Grad Std: 0.000000003706748
Param: encoder1.2.swin.0.Swin.mlp.fc2.weight              | Grad Mean: 0.000000000010655 | Grad Std: 0.000000012438266
Param: encoder1.2.swin.0.Swin.mlp.fc2.bias                | Grad Mean: -0.000000196063112 | Grad Std: 0.000023780879928
Param: encoder1.2.swin.0.norm.weight                      | Grad Mean: -0.000000392569746 | Grad Std: 0.000140691045090
Param: encoder1.2.swin.0.norm.bias                        | Grad Mean: -0.000000392125543 | Grad Std: 0.000052226139815
Param: encoder1.2.swin.1.Swin.norm1.weight                | Grad Mean: -0.000000343756028 | Grad Std: 0.000003137916792
Param: encoder1.2.swin.1.Swin.norm1.bias                  | Grad Mean: 0.000000000229942 | Grad Std: 0.000000018354804
Param: encoder1.2.swin.1.Swin.attn.relative_position_bias_table | Grad Mean: -0.000000000000000 | Grad Std: 0.000000008127121
Param: encoder1.2.swin.1.Swin.attn.qkv.weight             | Grad Mean: -0.000000000188265 | Grad Std: 0.000000938033395
Param: encoder1.2.swin.1.Swin.attn.qkv.bias               | Grad Mean: 0.000000007052434 | Grad Std: 0.000000197052643
Param: encoder1.2.swin.1.Swin.attn.proj.weight            | Grad Mean: -0.000000000141762 | Grad Std: 0.000002726762204
Param: encoder1.2.swin.1.Swin.attn.proj.bias              | Grad Mean: -0.000000353456471 | Grad Std: 0.000016425738067
Param: encoder1.2.swin.1.Swin.norm2.weight                | Grad Mean: 0.000000000000024 | Grad Std: 0.000000000000447
Param: encoder1.2.swin.1.Swin.norm2.bias                  | Grad Mean: 0.000000000000003 | Grad Std: 0.000000000000044
Param: encoder1.2.swin.1.Swin.mlp.fc1.weight              | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000050167
Param: encoder1.2.swin.1.Swin.mlp.fc1.bias                | Grad Mean: -0.000000000000295 | Grad Std: 0.000000000098231
Param: encoder1.2.swin.1.Swin.mlp.fc2.weight              | Grad Mean: 0.000000000000011 | Grad Std: 0.000000000288122
Param: encoder1.2.swin.1.Swin.mlp.fc2.bias                | Grad Mean: -0.000000353456556 | Grad Std: 0.000016425738067
Param: encoder1.2.swin.1.norm.weight                      | Grad Mean: -0.000003983606348 | Grad Std: 0.000143778845086
Param: encoder1.2.swin.1.norm.bias                        | Grad Mean: -0.000000706912829 | Grad Std: 0.000033195166907
Param: encoder1.2.mamba.0.norm.weight                     | Grad Mean: 0.000002285932624 | Grad Std: 0.000179392998689
Param: encoder1.2.mamba.0.norm.bias                       | Grad Mean: 0.000000956293661 | Grad Std: 0.000019416133000
Param: encoder1.2.mamba.0.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
